[15-08-2020 10:15:15] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:15] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:15] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:15] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:15] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:15] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:15] rc 0 0 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:16] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:17] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:18] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:18] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:18] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:18] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:18] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:18] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:18] rc 0 0 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:18] rc 0 0 -70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:18] rc 0 0 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:19] rc 0 0 70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:19] rc 0 0 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:20] rc 0 0 70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:20] rc 0 0 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:21] rc 0 0 70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:21] rc 0 0 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:21] rc 70 0 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:22] rc 0 0 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:22] rc 70 0 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:23] rc 0 0 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:23] rc -70 0 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:23] rc 0 0 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:23] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:24] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:24] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:24] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:24] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:24] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:24] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:24] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:24] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:24] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:24] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:24] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:24] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:25] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:26] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:26] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:26] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:26] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:26] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:26] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:26] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:26] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:26] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:26] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:26] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:26] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:26] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:26] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:26] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:26] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:26] rc 0 0 0 -70 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:26] rc 0 0 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:26] rc 0 0 70 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:27] rc 0 0 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:27] rc 0 70 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:27] rc 0 70 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:27] rc 0 70 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:27] rc 0 70 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:27] rc 0 70 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:27] rc 0 70 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:28] rc 0 70 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:28] rc 0 70 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:28] rc 0 70 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:28] rc 0 70 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:28] rc 0 70 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:28] rc 0 70 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:28] rc 0 70 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:28] rc 0 70 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:28] rc 0 70 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:28] rc 0 70 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
[15-08-2020 10:15:28] rc 0 70 0 0 : [RESPONSE] FROM [('192.168.10.1', 8889)]
